RC_PROJECT_NAME,RC_GUID,plant,device_type,device,measurement,via
FVE_MALEVO,4AFEDD4A-0161-4CF2-9A22-F9E36E1278DE,lumen_malevo,scb,scb_1_1,i_pv_1,inverter_01_01
FVE_MALEVO,5A07A988-7198-43C6-9F19-AB21C7A87A0F,lumen_malevo,scb,scb_1_1,i_pv_2,inverter_01_01
FVE_MALEVO,62D821C2-C6F7-4907-A55A-D1730ABF24BF,lumen_malevo,scb,scb_1_1,i_pv_3,inverter_01_01
FVE_MALEVO,29AE8EDD-156A-4081-ACD3-E87D39B8D289,lumen_malevo,scb,scb_1_1,i_pv_4,inverter_01_01
FVE_MALEVO,E7F4C537-AC90-44CD-87C2-683BE70C60FD,lumen_malevo,scb,scb_1_1,i_pv_5,inverter_01_01
FVE_MALEVO,440FBEC9-35A1-48F5-9370-085A47B59F2B,lumen_malevo,scb,scb_1_1,i_pv_6,inverter_01_01
FVE_MALEVO,1F46AF30-3664-4280-96C4-F440F2D284F3,lumen_malevo,scb,scb_1_1,i_pv_7,inverter_01_01
FVE_MALEVO,C253C1BC-F0CA-44F9-A63D-24723BB5B4D2,lumen_malevo,scb,scb_1_1,i_pv_8,inverter_01_01
FVE_MALEVO,A1DA35D6-4D32-4D96-89B6-EADDB2B4E2B6,lumen_malevo,scb,scb_1_2,i_pv_1,inverter_01_01
FVE_MALEVO,0D418AB3-1588-47FA-84AE-BE97D1B59348,lumen_malevo,scb,scb_1_2,i_pv_2,inverter_01_01
FVE_MALEVO,7E4BAB22-FE5D-4A53-83D1-73FF556227EF,lumen_malevo,scb,scb_1_2,i_pv_3,inverter_01_01
FVE_MALEVO,AA9DF94B-61C6-4AEE-8B23-96F425079664,lumen_malevo,scb,scb_1_2,i_pv_4,inverter_01_01
FVE_MALEVO,C7FEF282-84D6-4411-B6CF-2EFEAEE7747D,lumen_malevo,scb,scb_1_2,i_pv_5,inverter_01_01
FVE_MALEVO,2919F15B-0BA9-4B16-BE83-6B1CAFF3A151,lumen_malevo,scb,scb_1_2,i_pv_6,inverter_01_01
FVE_MALEVO,637BF515-4019-4E3F-AE63-D8E09B0318D1,lumen_malevo,scb,scb_1_2,i_pv_7,inverter_01_01
FVE_MALEVO,0455E2F9-329F-4EBE-A2BB-9B61946E2755,lumen_malevo,scb,scb_1_2,i_pv_8,inverter_01_01
FVE_MALEVO,4C062D42-AFD7-41C4-88B1-FEBA690B7C47,lumen_malevo,scb,scb_1_3,i_pv_1,inverter_01_01
FVE_MALEVO,48AFECEF-0B6C-4094-8CB7-94C8E6B9A26A,lumen_malevo,scb,scb_1_3,i_pv_2,inverter_01_01
FVE_MALEVO,6DAB0955-E13B-4150-8558-8DA0335FEFF2,lumen_malevo,scb,scb_1_3,i_pv_3,inverter_01_01
FVE_MALEVO,774B35C5-A8BF-41BF-8BA5-B5E11FC93661,lumen_malevo,scb,scb_1_3,i_pv_4,inverter_01_01
FVE_MALEVO,5188F2C4-BC08-49A5-9710-8059803EC82C,lumen_malevo,scb,scb_1_3,i_pv_5,inverter_01_01
FVE_MALEVO,0A2664E9-3D2C-42A6-B40C-A555201C23D1,lumen_malevo,scb,scb_1_3,i_pv_6,inverter_01_01
FVE_MALEVO,9B6F0AFF-35CA-4C29-9658-80A38EE1531B,lumen_malevo,scb,scb_1_3,i_pv_7,inverter_01_01
FVE_MALEVO,AF8A9C84-E0FA-484E-8D98-053D5B5D73EC,lumen_malevo,scb,scb_1_3,i_pv_8,inverter_01_01
FVE_MALEVO,AA08C9D9-319D-4E76-8FC7-D35A88CCCA15,lumen_malevo,scb,scb_1_4,i_pv_1,inverter_01_01
FVE_MALEVO,BFD2B64B-3D1F-45DF-A5AD-BE04DC2ED41E,lumen_malevo,scb,scb_1_4,i_pv_2,inverter_01_01
FVE_MALEVO,2F88C947-DFDA-436D-884B-DF05F9ED9C8E,lumen_malevo,scb,scb_1_4,i_pv_3,inverter_01_01
FVE_MALEVO,8EDD0D83-CE3B-4E5D-A43D-CA7727A505BA,lumen_malevo,scb,scb_1_4,i_pv_4,inverter_01_01
FVE_MALEVO,BEB52D05-29B6-446A-B013-E75B8A6D1016,lumen_malevo,scb,scb_1_4,i_pv_5,inverter_01_01
FVE_MALEVO,EFB79FD1-082F-4396-8960-C704AC0458DC,lumen_malevo,scb,scb_1_4,i_pv_6,inverter_01_01
FVE_MALEVO,C8EE501C-621A-45D3-AB31-0B696C218E82,lumen_malevo,scb,scb_1_4,i_pv_7,inverter_01_01
FVE_MALEVO,468D4ED8-E2AF-49EA-B699-7043E8593AA3,lumen_malevo,scb,scb_1_4,i_pv_8,inverter_01_01
FVE_MALEVO,85ECB1D3-2C7F-464A-B399-C5297F174A24,lumen_malevo,scb,scb_2_1,i_pv_1,inverter_01_02
FVE_MALEVO,0BF10248-939B-446F-BA0F-8A34F2FA8224,lumen_malevo,scb,scb_2_1,i_pv_2,inverter_01_02
FVE_MALEVO,05303E15-FDE1-483E-809B-3EC0B425F54B,lumen_malevo,scb,scb_2_1,i_pv_3,inverter_01_02
FVE_MALEVO,8AAA207D-59B0-4383-A511-6B3F373252E6,lumen_malevo,scb,scb_2_1,i_pv_4,inverter_01_02
FVE_MALEVO,058C6773-98CC-4A8B-84D5-4C3092D9C47C,lumen_malevo,scb,scb_2_1,i_pv_5,inverter_01_02
FVE_MALEVO,98881674-AEEA-439E-8DBF-ECAC366E0EFE,lumen_malevo,scb,scb_2_1,i_pv_6,inverter_01_02
FVE_MALEVO,400EB366-6E67-4DB9-9678-0F65B689DEB1,lumen_malevo,scb,scb_2_1,i_pv_7,inverter_01_02
FVE_MALEVO,62940950-8ACC-463D-B5D4-55055D9B76E0,lumen_malevo,scb,scb_2_1,i_pv_8,inverter_01_02
